Issue,Symptoms_Observed,Root_Cause_Problem,Solution,Category,Device,combined
different Configuration as PV node,"Lauterbach port not correct, sample connecte to different channels",Need same configurations,"Change lauterbach port to 4, sample to CH2",Setup_Change,Bench,"different configuration as pv node lauterbach port not correct, sample connecte to different channels need same configurations"
PSU not connecting,"PSU on, but not connecting remotely",PSU connection,PSU reset,Bench_HW,PSU,"psu not connecting psu on, but not connecting remotely psu connection"
Too low voltage and current on CH2 for sample,when sample connected voltage drops with no current,CH2 not fuctioning properly,Switch to CH1 as its wroking fine,Bench_HW,PSU,too low voltage and current on ch2 for sample when sample connected voltage drops with no current ch2 not fuctioning properly
sample bricked,Continous reset mode,ECU_SW not working properly,DediProg flash erase,ECU_SW,ECU,sample bricked continous reset mode ecu_sw not working properly
CANoe not working,"CANoe 19 in use, old version",CANoe SW upgrade,install CANoe19 SP2,Vector_SW,Vector,"canoe not working canoe 19 in use, old version canoe sw upgrade"
RBS not allowing to run,RBS simulation not starting,VN box communication fail,Restart VN box,Vector_HW,VN5650,rbs not allowing to run rbs simulation not starting vn box communication fail
Bench required for B2 ETH100 with CAN2 testing,No Bench available with B2 CAN2,"Lack of B2 Benches, CAN2 rarely used",Setup LR-C-003UK for temperary testing,Setup_Change,Bench,"bench required for b2 eth100 with can2 testing no bench available with b2 can2 lack of b2 benches, can2 rarely used"
Target power fail on debugger,PDU strip malfunctioning,PDU defect,PDU replace,Bench_HW,PDU,target power fail on debugger pdu strip malfunctioning pdu defect
Counters stops incrementing after a few seconds,Counters stop incrementing after some time,Boda not flashed,Flash Boda first,ECU_SW,ECU,counters stops incrementing after a few seconds counters stop incrementing after some time boda not flashed
Needs RA7 B2 sample,C1 sample connected,Swap sample,Change sample,Setup_Change,Bench,needs ra7 b2 sample c1 sample connected swap sample
LR-C-000FA bench replaced with RNG-C-004RY,LR-C-000FA bench expiring,Bench expiring,Setup RNG-C-004RY,Desktop,PC,lr-c-000fa bench replaced with rng-c-004ry lr-c-000fa bench expiring bench expiring
New bench users,,New bench users,Bench usage explanation,Bench_HW,Bench,new bench users  new bench users
ECU not detected on VXConsole,"ECU on, Sample not accesible on VX",SW config Mismatch,SW team escalation,ECU_SW,ECU,"ecu not detected on vxconsole ecu on, sample not accesible on vx sw config mismatch"
SW flashed but counters not running,"Lauterbach flash success, counters not running",OTP programming required for new C1 samples,Do OTP and try again,ECU_SW,ECU,"sw flashed but counters not running lauterbach flash success, counters not running otp programming required for new c1 samples"
No ETH msgs,"ETH link up but no msgs, TCP/IP issue, counters running",ETH Port connection,Change Bench and try different ETH port,ECU_SW,ECU,"no eth msgs eth link up but no msgs, tcp/ip issue, counters running eth port connection"
Remote connection not possible,Network not detecting,BCN not connected,Check LAN cable,Desktop,PC,remote connection not possible network not detecting bcn not connected
Needs RA7 B2 sample,B2 not connected,Swap sample,Change sample,Setup_Change,Bench,needs ra7 b2 sample b2 not connected swap sample
Needs RA7 B2 Gigabit sample,Previous Sample Erase issue,Swap sample,Change sample,Setup_Change,Bench,needs ra7 b2 gigabit sample previous sample erase issue swap sample
MDC Pin Measurement,,,Oscilliscope pin on MDC resistor,Setup_Change,Bench,mdc pin measurement  
ECU not detected on VXConfig,FR ECU not detecting,SW dependency blocking detection,Trace32 flash erase,ECU_SW,VX1161,ecu not detected on vxconfig fr ecu not detecting sw dependency blocking detection
No CAN communication from ECU,no messeges from ECU recieved,"SW programmed fro CAN2, Sample has only CAN1",New sample needed B2_01,ECU_SW,ECU,"no can communication from ecu no messeges from ecu recieved sw programmed fro can2, sample has only can1"
Identification no. on VN561A,,Need to order CANoe.run license,FInd IDN number,Bench_HW,VN Box,identification no. on vn561a  need to order canoe.run license
Connect debugger to sample,Connected to,Debugger not connected to required sample,Swap Debugger Connection,Bench_HW,Trace32,connect debugger to sample connected to debugger not connected to required sample
Bench is not working,on Trace32 - target power fail,Incorrect flash SW not compatibale with HW,"Complete Flash Erase, and Flash steps",ECU_SW,ECU,bench is not working on trace32 - target power fail incorrect flash sw not compatibale with hw
Replace with EX node,Old PC expiring,EX PC expiring,Setup and intall Sw on New PC,Desktop,PC,replace with ex node old pc expiring ex pc expiring
Required B sample,A sample connected,Swap sample,Change sample,Setup_Change,Bench,required b sample a sample connected swap sample
Sample stuck in a Reset Loop,Trace32 Continous Reset Mode,Sample Bricked,DediProg Flash erase,ECU_SW,ECU,sample stuck in a reset loop trace32 continous reset mode sample bricked
ECU not detected on VXConfig,ECU not powering on,KL30 sample needs wakeup trigger,Explain user wakeup trigger,ECU_HW,ECU,ecu not detected on vxconfig ecu not powering on kl30 sample needs wakeup trigger
ETH not detected,Full Bench powered Down,PDU defect,Replace PDU,Bench_HW,PDU,eth not detected full bench powered down pdu defect
Flashing via VXtool failed,"Flash Download Failed, ECU detected by VX",Brand new Sample requires OTP programming,New sample bringup process with lauterbach,ECU_SW,ECU,"flashing via vxtool failed flash download failed, ecu detected by vx brand new sample requires otp programming"
CANoe 19 SP2 required,SW not installed,Older versions in use,Install new Sw,Vector_SW,PC,canoe 19 sp2 required sw not installed older versions in use
Replace ABT-C-004DK,Small PC lacking storage and performance,"PC in heavy use, storage too small",Setup NEW PC ABT-C-008PY and replace,Desktop,PC,"replace abt-c-004dk small pc lacking storage and performance pc in heavy use, storage too small"
Power fail issue on Trace32,PSU not fuctioning properly,PSU defect,Replace PSU,Bench_HW,PSU,power fail issue on trace32 psu not fuctioning properly psu defect
Relay box not working,PMB not functioning properly,PMB defect,Replace and setup new PMB,Bench_HW,PMB,relay box not working pmb not functioning properly pmb defect
Setup ESB3 box application,,integrate ESB3 box in Bench,integrate ESB3 box in Bench,Setup_Change,Bench,setup esb3 box application  integrate esb3 box in bench
"Flashing not possible via VX, try with lauterbach","Lauterbach attach fail, target power down. No lights",CR is KL30 needs wakeup trigger,Wakeup trigger to activate ECU,ECU_HW,ECU,"flashing not possible via vx, try with lauterbach lauterbach attach fail, target power down. no lights cr is kl30 needs wakeup trigger"
fault sensor blockage as active,Antenna covered,Antenna blocked,face antenna towards wall,Bench_HW,ECU,fault sensor blockage as active antenna covered antenna blocked
PSU not controlled remotly,PSU on but not connecting on PC,PSU detection issue,PSU hard reset,Bench_HW,PSU,psu not controlled remotly psu on but not connecting on pc psu detection issue
X3 sample not flashable via VX,Flash Download fail,VX flashing fail,Move sample to Debugger bench,ECU_HW,VX1161,x3 sample not flashable via vx flash download fail vx flashing fail
Remote connection not possible,Network authentication settings not correct,"Auto update, BCN authentication",Change Network authentication settings,Desktop,PC,"remote connection not possible network authentication settings not correct auto update, bcn authentication"
"No communication, Sample in continuous reset mode",Sample Bricked,"incorrect SW on HW, incompatibility",Move to Debugger bench and Flash,ECU_SW,ECU,"no communication, sample in continuous reset mode sample bricked incorrect sw on hw, incompatibility"
Sample not Flashing with VX,With Debugger sample in continuous reset mode,Incorrect SW compatibility,Flash with Dediprog,ECU_SW,ECU,sample not flashing with vx with debugger sample in continuous reset mode incorrect sw compatibility
"Configuration File changed, Automation not working",Error: Serial port COM3 could not be opened,"Configuration change, no fall back",Revert config back to normal,Bench_HW,PSU,"configuration file changed, automation not working error: serial port com3 could not be opened configuration change, no fall back"
RelayCard not detecting Remotely,Detection fail on PC,Relay card detection,Reset device and PC,Bench_HW,PMB,relaycard not detecting remotely detection fail on pc relay card detection
Debugger board not connecting on Trace32,PowerDebug device has been Disconnected,Detection fail,Hard_Reset,Debugger,Trace32,debugger board not connecting on trace32 powerdebug device has been disconnected detection fail
No ETH communication,"Link up detected, but no communication",SW unstable,,,VN Box,"no eth communication link up detected, but no communication sw unstable"
Changing Samples to and from Dev bench,,"SW Testing, issue with MT tool",Change samples,Setup_Change,ECU,"changing samples to and from dev bench  sw testing, issue with mt tool"
New PC for bench required,Old PC expiring duration,Old PC expiring,Setup New PC in place of old EY PC,Desktop,PC,new pc for bench required old pc expiring duration old pc expiring
sample change to B0,A2 currently connected,incorrect sample target,Sample Change,Setup_Change,ECU,sample change to b0 a2 currently connected incorrect sample target
"Old CANoe version installed, needed SP2",Normal version installed,Old SW version,Upgrade SW version,Vector_SW,PC,"old canoe version installed, needed sp2 normal version installed old sw version"
"NFO feature failing, suspecting NVM issue",Feature failing,Base NVM SW issue,Flash erase with lauterbach,ECU_SW,ECU,"nfo feature failing, suspecting nvm issue feature failing base nvm sw issue"
New C1 SW OTP flashing,"Steps to follow, not possible via VX box",New SW stability,Follow OTP and Flash steps,ECU_SW,ECU,"new c1 sw otp flashing steps to follow, not possible via vx box new sw stability"
Lauterbach Debugger not being detected,Debugger not Detected,Lauterbach connectivity issue,Restart PC and Lauterbach,Debugger,Traces32,lauterbach debugger not being detected debugger not detected lauterbach connectivity issue
Samples not communicating,Samples flashed with C1 SW,Incorrect SW flash. C1 SW on B2 HW,Flash Erase to recover sample,ECU_SW,ECU,samples not communicating samples flashed with c1 sw incorrect sw flash. c1 sw on b2 hw
C1 FR for Fuzz test,,User needed bench info,explain setup,Bench_HW,ECU,c1 fr for fuzz test  user needed bench info
PMB is not working,PMB not recieving data,IP configuration changed after PC update,Reconfigure IP of PC and PMB to be in same subnet,Bench_HW,PMB,pmb is not working pmb not recieving data ip configuration changed after pc update
not able to enter into BAS session,Incorrect COM channel usage,COM3 used but COM4 for ESB,Use correct COM channel,Bench_HW,ESB3,not able to enter into bas session incorrect com channel usage com3 used but com4 for esb
Sample bricked,Bus error at address Cx01,Sample Bricked,DediProg - Flash erase,ECU_SW,ECU,sample bricked bus error at address cx01 sample bricked
XCP connection fail with ECU,CANape not connecting to ECU properly,"XCP connection, SW dependency",Flash Sw with lauterbach,ECU_SW,ECU,"xcp connection fail with ecu canape not connecting to ecu properly xcp connection, sw dependency"
"SW issue, Sample bricked",Sample bricked,SW bug,DediProg - Flash erase,ECU_SW,ECU,"sw issue, sample bricked sample bricked sw bug"
No ECU detected with VX tool,CANape not connecting to ECU properly,SW Dependency,Flash Sw with lauterbach,ECU_SW,ECU,no ecu detected with vx tool canape not connecting to ecu properly sw dependency
Outdated CANoe version,CANoe 19 only,Needed CANoe 19 SP2,Install new SW,Vector_SW,PC,outdated canoe version canoe 19 only needed canoe 19 sp2
Sample power down,No detection by Lauterbach device,Trace32 detection issue,run recovery script multiple times,Debugger,Traces32,sample power down no detection by lauterbach device trace32 detection issue
Unable to Flash using VX,Sample Detection issue,SW dependency with MT flashing,Flash erase with lauterbach,Debugger,ECU,unable to flash using vx sample detection issue sw dependency with mt flashing
SW has problem with CANape flash,Sample Detection issue,SW dependency with MT flashing,Flash using lauterbach,ECU_SW,ECU,sw has problem with canape flash sample detection issue sw dependency with mt flashing
Remote connection not available,PC updating,BCN authentication and IP Change,Configure authentication settings,Desktop,PC,remote connection not available pc updating bcn authentication and ip change
"ETS testing, Siganls delta too high",Signal delta more that 3 microseconds,Suspect real time RBS,Try running after downloading on VN5650,Vector_HW,VN5650,"ets testing, siganls delta too high signal delta more that 3 microseconds suspect real time rbs"
Sample bricked,lauterbach attach fail,Sw issue with linker and MPU,Dediprog Flash erase,ECU_SW,ECU,sample bricked lauterbach attach fail sw issue with linker and mpu
No ETH communication or lauterbach attach,Bench setup changed for Different testing,Setup changed,Change setup back for SSH testing,Bench_HW,Bench,no eth communication or lauterbach attach bench setup changed for different testing setup changed
"Sample is down, no MT detection",Sample in Reset Mode,,,ECU_SW,ECU,"sample is down, no mt detection sample in reset mode "
Tp points on debugger needs soldering,´no female adapters,Soldering of female adapters,solder from lab,Bench_HW,ECU,tp points on debugger needs soldering ´no female adapters soldering of female adapters
Sample not working,Sample in reset state,Incorrect SW version flashed,Lauterbach erase and Flash,ECU_SW,ECU,sample not working sample in reset state incorrect sw version flashed
Vector Hardware config not opening,Application in loading state,Drivers corrupted,Reinstall vector drivers,Desktop,PC,vector hardware config not opening application in loading state drivers corrupted
Lauterbach SW installation not done,no Lauterbach Sw installed,,Install Lauterbach Installation,Desktop,PC,lauterbach sw installation not done no lauterbach sw installed 
Relay card not working,No remote control possible remotely,Relay Card detection issue,Hard reset and wiring check,Bench_HW,Relay,relay card not working no remote control possible remotely relay card detection issue
Sample not connecting via MT,Flashing failed via VX tool,SW unstability,Flash Sw via T32,ECU_SW,ECU,sample not connecting via mt flashing failed via vx tool sw unstability
Bus off testing,,,Support for ETH disconnect test,Bench_HW,Bench,bus off testing  
Lauterbach not detecting,T32 device not attaching to ECU,T32 connection issue,Hard rest and reconnect wiring,Debugger,Trace32,lauterbach not detecting t32 device not attaching to ecu t32 connection issue
Remote connection not possible,BCN authentication failed,Windows update,Authenticate BCN via Smartcard,Desktop,PC,remote connection not possible bcn authentication failed windows update
Lauterbach debugger JTAG check,2 JTAG on RA7P samples,,Verify master and slave connection is correct,Bench_HW,Bench,lauterbach debugger jtag check 2 jtag on ra7p samples 
Modulation not happening,Antenna face covered,Antenna blocked,Face Antenna towards Room,Bench_HW,ECU,modulation not happening antenna face covered antenna blocked
B0 sample bricked,Sample in continous reset,incorrect SW Flash,dediprog Flash erase,ECU_SW,ECU,b0 sample bricked sample in continous reset incorrect sw flash
Lauterbach not connecting,target power fail,ECu not detecting,Recovery and rest script,Debugger,Trace32,lauterbach not connecting target power fail ecu not detecting
Lauertbach not detecting,T32 device not attaching to ECU,T32 connection issue,Hard rest and reconnect wiring,Debugger,Trace32,lauertbach not detecting t32 device not attaching to ecu t32 connection issue
PC freezing often,PC lagging,PC too slow,PC restart,Desktop,PC,pc freezing often pc lagging pc too slow
Bench Offline,Remote connection not possible,BCN Authentication,Authenticate BCN via Smartcard,Desktop,PC,bench offline remote connection not possible bcn authentication
Remote user access disabled,ftd8fe user not in allwed remote users,,Grant access to ftd8fe user,Desktop,PC,remote user access disabled ftd8fe user not in allwed remote users 
Lauterbach connection fail,target power down,Relay not toggled,turn on relay for ECU power,Debugger,PC,lauterbach connection fail target power down relay not toggled
ESB3 box setup,,Bench bottle neck,setup new bench with ESB3,Setup_Change,Bench,esb3 box setup  bench bottle neck
Configuring Vector hardware for testcase,multitest with different hardware mapping,conflicting Hardware mapping for different tests,Create seperate config files for each test,Vector_HW,PC,configuring vector hardware for testcase multitest with different hardware mapping conflicting hardware mapping for different tests
Importing .vhp configuration,,how to import config files,teach user,Bench_HW,PC,importing .vhp configuration  how to import config files
CR Sample not working,no communication observed,incorrect multiplexer use,setup correct mux,Bench_HW,Mux,cr sample not working no communication observed incorrect multiplexer use
ESB box not entering BAS,BAS access fail,,Restart Bench,Bench_HW,ESB3,esb box not entering bas bas access fail 
Sample corrupted,Sample bricked,incorrect SW type flashed,Dediprog flash erase,ECU_SW,ECU,sample corrupted sample bricked incorrect sw type flashed
Canoe RBS not running,RBS not opening IP conflicts,RBS not correctly configured,Raise request with RBS team,Vector_SW,PC,canoe rbs not running rbs not opening ip conflicts rbs not correctly configured
Communication not happening,no communication observed,ETH harness not connected,connect ETH cable,Bench_HW,VN5650,communication not happening no communication observed eth harness not connected
HPC load connection,,,testcase setup change,Setup_Change,Bench,hpc load connection  
Lauterbach and ECu communication check,no communication observed,config matching issue,reconfigure Vector hardware config and verify,Debugger,VN5650,lauterbach and ecu communication check no communication observed config matching issue
Lauterbach Flashing,Flashing failed via VX tool,MT flash fail,flash via lauterbach,Debugger,Trace32,lauterbach flashing flashing failed via vx tool mt flash fail
